neighborhood,latitude,longitude,link
Zaveri Bazaar,18.951808,72.830697,https://en.wikipedia.org/wiki/Zaveri_Bazaar
Walkeshwar,18.9475964,72.7959574,https://en.wikipedia.org/wiki/Walkeshwar
Wadala,19.021632,72.86459,https://en.wikipedia.org/wiki/Wadala
Virar,19.47,72.8,https://en.wikipedia.org/wiki/Virar
Vidyavihar,19.080,72.896,https://en.wikipedia.org/wiki/Vidyavihar
"Versova, Mumbai",19.12,72.82,"https://en.wikipedia.org/wiki/Versova,_Mumbai"
Uran,18.89,72.95,https://en.wikipedia.org/wiki/Uran
Tardeo,18.969,72.813,https://en.wikipedia.org/wiki/Tardeo
Sunder Nagar,19.175,72.842,https://en.wikipedia.org/wiki/Sunder_Nagar
SPDC Colony,19.022350,72.554874,https://en.wikipedia.org/wiki/SPDC_Colony
Shivaji Park Residential Zone,19.026724,72.838047,https://en.wikipedia.org/wiki/Shivaji_Park_Residential_Zone
Shivaji Park,19.026724,72.838047,https://en.wikipedia.org/wiki/Shivaji_Park
"Shastri Nagar, Goregaon",13.000,80.267,"https://en.wikipedia.org/wiki/Shastri_Nagar,_Goregaon"
Sewri,19.00,72.86,https://en.wikipedia.org/wiki/Sewri
SEEPZ,19.123,72.876,https://en.wikipedia.org/wiki/SEEPZ
Pydhonie,18.9540,72.8361,https://en.wikipedia.org/wiki/Pydhonie
Prabhadevi,19.0166,72.8295,https://en.wikipedia.org/wiki/Prabhadevi
Powai,19.12,72.91,https://en.wikipedia.org/wiki/Powai
Poisar,19.204511,72.837639,https://en.wikipedia.org/wiki/Poisar
Pedder Road,18.97,72.8061,https://en.wikipedia.org/wiki/Pedder_Road
Parel,18.99,72.84,https://en.wikipedia.org/wiki/Parel
Pali Hill,19.06587,72.826744,https://en.wikipedia.org/wiki/Pali_Hill
Royal Opera House (Mumbai),18.956111,72.815556,https://en.wikipedia.org/wiki/Royal_Opera_House_(Mumbai)
Navy Nagar,18.9012,72.8101,https://en.wikipedia.org/wiki/Navy_Nagar
Nariman Point,18.926,72.823,https://en.wikipedia.org/wiki/Nariman_Point
Nala Sopara,19.416982,72.798733,https://en.wikipedia.org/wiki/Nala_Sopara
Mira Road,19.284113,72.871329,https://en.wikipedia.org/wiki/Mira_Road
Mazagaon,18.97,72.85,https://en.wikipedia.org/wiki/Mazagaon
"Matunga Road, Mumbai",19.02806,72.84694,"https://en.wikipedia.org/wiki/Matunga_Road,_Mumbai"
Marol,19.119219,72.882743,https://en.wikipedia.org/wiki/Marol
Marine Lines,18.9447,72.8244,https://en.wikipedia.org/wiki/Marine_Lines
"Marine Drive, Mumbai",18.944,72.823,"https://en.wikipedia.org/wiki/Marine_Drive,_Mumbai"
Manori,19.21,72.79,https://en.wikipedia.org/wiki/Manori
"Mandvi, Mumbai",18.950,72.833,"https://en.wikipedia.org/wiki/Mandvi,_Mumbai"
Malad,19.186111,72.848611,https://en.wikipedia.org/wiki/Malad
Malabar Hill,18.95,72.795,https://en.wikipedia.org/wiki/Malabar_Hill
Mahul,19.000,72.883,https://en.wikipedia.org/wiki/Mahul
Mahim,19.035,72.84,https://en.wikipedia.org/wiki/Mahim
"Maheshwari Udyan, Mumbai",19.026734,72.855341,"https://en.wikipedia.org/wiki/Maheshwari_Udyan,_Mumbai"
"Mahalaxmi, Mumbai",18.983,72.800,"https://en.wikipedia.org/wiki/Mahalaxmi,_Mumbai"
Madh Island,19.132283,72.794785,https://en.wikipedia.org/wiki/Madh_Island
Lokhandwala Complex,19.130815,72.82927,https://en.wikipedia.org/wiki/Lokhandwala_Complex
Lallubhai Compound,19.05,72.93,https://en.wikipedia.org/wiki/Lallubhai_Compound
Kherwadi,19.0553,72.8314,https://en.wikipedia.org/wiki/Kherwadi
Khar Danda,19.068598,72.840042,https://en.wikipedia.org/wiki/Khar_Danda
Kamathipura,18.96,72.82,https://en.wikipedia.org/wiki/Kamathipura
Kalbadevi,18.955,72.835,https://en.wikipedia.org/wiki/Kalbadevi
Irla,19.10806,72.83806,https://en.wikipedia.org/wiki/Irla
I.C. Colony,19.247039,72.849830,https://en.wikipedia.org/wiki/I.C._Colony
"Hiranandani Gardens, Mumbai",19.118986,72.911767,"https://en.wikipedia.org/wiki/Hiranandani_Gardens,_Mumbai"
Hindu colony,19.020841,72.848647,https://en.wikipedia.org/wiki/Hindu_colony
Guru Tegh Bahadur Nagar,19.034331,72.864203,https://en.wikipedia.org/wiki/Guru_Tegh_Bahadur_Nagar
Gowalia Tank,18.9624500,72.8097028,https://en.wikipedia.org/wiki/Gowalia_Tank
Gorai,19.250057,72.782021,https://en.wikipedia.org/wiki/Gorai
Girgaon,18.953,72.813,https://en.wikipedia.org/wiki/Girgaon
Four Bungalows,19.124714,72.82721,https://en.wikipedia.org/wiki/Four_Bungalows
Fort (Mumbai precinct),18.935,72.8359,https://en.wikipedia.org/wiki/Fort_(Mumbai_precinct)
Ferry Wharf,18.956382,72.849261,https://en.wikipedia.org/wiki/Ferry_Wharf
Fanas Wadi,18.951811,72.825309,https://en.wikipedia.org/wiki/Fanas_Wadi
Dongri,19.283,72.783,https://en.wikipedia.org/wiki/Dongri
Dindoshi,19.176382,72.864891,https://en.wikipedia.org/wiki/Dindoshi
Dhobitalao,18.9433,72.8286,https://en.wikipedia.org/wiki/Dhobitalao
Dharavi,19.040208,72.85085,https://en.wikipedia.org/wiki/Dharavi
Deonar,19.05,72.89,https://en.wikipedia.org/wiki/Deonar
Dava Bazaar,18.946882,72.831362,https://en.wikipedia.org/wiki/Dava_Bazaar
Dagdi Chawl,18.977129,72.829131,https://en.wikipedia.org/wiki/Dagdi_Chawl
Dadar Parsi Colony,19.0203,72.8538,https://en.wikipedia.org/wiki/Dadar_Parsi_Colony
Dadar,19.021,72.841,https://en.wikipedia.org/wiki/Dadar
D.N. Nagar,19.124085,72.831373,https://en.wikipedia.org/wiki/D.N._Nagar
Currey Road railway station,18.994,72.833,https://en.wikipedia.org/wiki/Currey_Road_railway_station
Cumbala Hill,18.96583,72.80583,https://en.wikipedia.org/wiki/Cumbala_Hill
Cuffe Parade,18.91,72.81,https://en.wikipedia.org/wiki/Cuffe_Parade
Cotton Green,18.986209,72.844076,https://en.wikipedia.org/wiki/Cotton_Green
Colaba,18.91,72.81,https://en.wikipedia.org/wiki/Colaba
Churchgate,18.93,72.82,https://en.wikipedia.org/wiki/Churchgate
Chor Bazaar,18.960321,72.827176,https://en.wikipedia.org/wiki/Chor_Bazaar
Chira Bazaar,18.948140,72.825462,https://en.wikipedia.org/wiki/Chira_Bazaar
Chinchpokli,18.983,72.833,https://en.wikipedia.org/wiki/Chinchpokli
"Chandanwadi, Mumbai",18.946132,72.825736,"https://en.wikipedia.org/wiki/Chandanwadi,_Mumbai"
Cavel,18.9474,72.8272,https://en.wikipedia.org/wiki/Cavel
C.G.S. colony,19.016378,72.856629,https://en.wikipedia.org/wiki/C.G.S._colony
Byculla,18.98,72.835,https://en.wikipedia.org/wiki/Byculla
Breach Candy,18.967,72.805,https://en.wikipedia.org/wiki/Breach_Candy
Bori Bunder,18.9400,72.8353,https://en.wikipedia.org/wiki/Bori_Bunder
Bhuleshwar,18.95,72.83,https://en.wikipedia.org/wiki/Bhuleshwar
Bangur Nagar,19.167362,72.832252,https://en.wikipedia.org/wiki/Bangur_Nagar
Ballard Estate,18.95,72.84,https://en.wikipedia.org/wiki/Ballard_Estate
Baiganwadi,19.0613,72.9258,https://en.wikipedia.org/wiki/Baiganwadi
Badhwar Park,18.9211444,72.8273250,https://en.wikipedia.org/wiki/Badhwar_Park
Asalfa,19.091,72.901,https://en.wikipedia.org/wiki/Asalfa
Anushakti Nagar,19.03639,72.92250,https://en.wikipedia.org/wiki/Anushakti_Nagar
Antop Hill,19.022220,72.866564,https://en.wikipedia.org/wiki/Antop_Hill
Amrut Nagar,19.102077,72.912835,https://en.wikipedia.org/wiki/Amrut_Nagar
"Amboli, Mumbai",19.1293,72.8434,"https://en.wikipedia.org/wiki/Amboli,_Mumbai"
Altamount Road,18.9652,72.8087,https://en.wikipedia.org/wiki/Altamount_Road
Agripada,18.9777,72.8273,https://en.wikipedia.org/wiki/Agripada
Aarey Milk Colony,19.148493,72.881756,https://en.wikipedia.org/wiki/Aarey_Milk_Colony
